Subject ID,Subgroup (MC / WC),W1 stories transcribed?,W2 stories transcribed?,W1 nAch (within-sample t),W1 nPow (within-sample t),W1 nAff (within-sample t),W2 nAch (within-sample t),W2 nPow (within-sample t),W2 nAff (within-sample t),Occupation level,Income (raw),Work attitudes,Work satisfaction (tertiles),Education years,Second job ever,Ever unemployed,Work accomplishment index (paper DV),"Income (sex-adjusted, paper DV)","Income (sex + work-acc adjusted, paper DV)","AI W1 nAch (V8 ensemble, to fill)","AI W1 nPow (V10 ensemble, to fill)","AI W1 nAff (V2 ensemble, to fill)","AI W2 nAch (V8 ensemble, to fill)","AI W2 nPow (V10 ensemble, to fill)","AI W2 nAff (V2 ensemble, to fill)",wafeminc_raw,warevinc_raw,wanewwk4_raw,wanach78_raw,subjid,ai_ach_w1_raw,n_pictures,ai_ach_w1_t
610,middle-class,YES,YES,68.2,47.98,44.97,43.9,43.84,48.63,6,4,3,2,16,3,0,9,9.15,7.03,,,,,,,9.15,7.03,9.0,67.46,610,5.0,6,52.153453257043786
611,middle-class,YES,YES,61.59,40.22,38.89,44.66,45.64,45.16,6,7,2,0,13,0,0,7,12.15,10.5,,,,,,,12.15,10.5,7.0,61.04,611,6.0,6,54.85505825224417
617,middle-class,YES,NO,52.0,71.24,78.43,41.7,54.7,60.66,7,6,3,2,14,3,0,10,11.15000000000001,8.8,,,,,,,11.150000000000007,8.8,10.0,51.72,617,7.0,6,57.556663247444554
627,middle-class,YES,YES,32.78,47.98,57.14,47.39,42.07,46.31,6,6,1,1,15,1,0,6,8.58,7.16,,,,,,,8.58,7.16,6.0,33.06,627,0.0,6,38.64542828104186
632,middle-class,YES,YES,40.04,63.48,57.14,35.87,49.28,77.58,7,7,3,2,18,2,0,9,9.58,7.46,,,,,,,9.58,7.46,9.0,40.11,632,5.0,6,52.153453257043786
633,working-class,YES,YES,29.98,47.98,48.02,33.92,49.95,50.27,5,4,0,0,16,3,0,8,9.15,7.27,,,,,,,9.15,7.27,8.0,30.34,633,0.0,6,38.64542828104186
654,middle-class,YES,YES,50.62,63.48,48.02,63.63,49.01,50.88,6,6,1,1,17,3,0,10,11.15000000000001,8.8,,,,,,,11.150000000000007,8.8,10.0,50.38,654,15.0,6,79.16950320904763
658,middle-class,YES,YES,57.55,47.98,63.22,72.06,54.61,55.15,8,5,2,1,17,0,0,9,10.15,8.03,,,,,,,10.15,8.03,9.0,57.11,658,5.0,5,52.153453257043786
670,middle-class,YES,YES,60.13,47.98,60.18,60.15,51.34,49.45,8,8,2,1,18,0,0,9,10.58,8.46,,,,,,,10.58,8.46,9.0,59.62,670,0.0,5,38.64542828104186
672,working-class,YES,YES,57.29,71.24,44.97,36.62,47.36,46.66,6,6,2,1,16,0,0,7,8.58,6.93,,,,,,,8.58,6.93,7.0,56.86,672,2.0,6,44.04863827144263
675,middle-class,YES,YES,43.75,63.48,38.89,38.33,72.33,46.42,7,3,0,0,18,2,0,10,8.15,5.8,,,,,,,8.15,5.8,10.0,43.71,675,10.0,6,65.66147823304571
679,middle-class,YES,YES,55.9,40.22,60.18,34.09,50.49,37.48,8,8,0,0,20,0,0,10,10.58,8.22,,,,,,,10.58,8.22,10.0,55.51,679,0.0,6,38.64542828104186
683,middle-class,YES,YES,41.52,40.22,35.85,50.4,38.69,60.42,6,3,2,2,16,2,0,9,8.15,6.03,,,,,,,8.15,6.03,9.0,41.54,683,7.0,6,57.556663247444554
684,working-class,YES,YES,51.27,47.98,41.93,56.22,40.9,58.97,7,8,2,2,16,0,0,8,10.58,8.689999999999992,,,,,,,10.58,8.689999999999992,8.0,51.01,684,3.0,6,46.75024326664302
709,working-class,YES,YES,39.0,47.98,38.89,47.95,42.76,42.9,8,8,3,2,20,0,0,9,10.58,8.46,,,,,,,10.58,8.46,9.0,39.1,709,0.0,6,38.64542828104186
720,working-class,YES,YES,50.97,40.22,38.89,54.85,57.69,35.49,7,3,2,1,16,0,0,8,8.15,6.27,,,,,,,8.15,6.27,8.0,50.72,720,7.0,6,57.556663247444554
723,middle-class,YES,YES,60.47,47.98,51.06,74.58,16.93,47.12,6,5,2,1,14,3,0,10,10.15,7.8,,,,,,,10.15,7.8,10.0,59.95,723,6.0,6,54.85505825224417
745,working-class,YES,YES,44.15,40.22,60.18,57.31,64.83,61.26,6,3,1,1,13,3,0,10,8.15,5.8,,,,,,,8.15,5.8,10.0,44.1,745,6.0,6,54.85505825224417
